,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,dump_reason,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,normally_do,device_to_rep,self_try,self_try_chlng,rprd_usage_chlng,rpr_missing_trait,bad_rep_exp,dev_tknto_rec,dev_rec_chlng,will_dev_rec,prblm_not_recd
0,Dhaka,20-29,Woman,Bachelors,Student,6-8,Smartphone,<2 yr,"2, 3, 6",1,5.0,Y,Y,Y,"1, 4","Smartphone, Desktop, Laptop, Tablet",3,"1, 6, 7","3, 4",5,NC,Desktop,3,,2
1,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<2 yr,"2, 6",1,5.0,N,N,N,"1, 4","Desktop, Laptop",2,"1, 3, 4, 6","3, 4, 6","1, 4, 6, 7",NC,"Printer , UPS","1, 4",,"1, 2"
2,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<1 mn,2,6,4.0,Y,Y,N ,1,"Smartphone, Laptop",3,5,3,2,N,Nothing,2,N,2
3,Dhaka,20-29,Man,Bachelors,Student,4-6,Laptop,<1 yr,3,"1, 5",1.0,Y,Y,Y,1,"Smartphone, Desktop, Laptop",2,"1, 3, 5, 6","3, 4","1, 2, 4, 5, 6",NC,Smartphone,"2, 3, 4",N,"1, 2, 3, 4, 5"
4,Dhaka,20-29,Woman,High School,Student,4-6,Smartphone,<4 yr,6,1,5.0,N,Y,Y,"1, 4, 5","Smartphone, Featurephone, Desktop, Laptop","2, 3","5, 6","3, 4","2, 3, 4, 5, 6",NC,Nothing,,N,"1, 2"
5,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<2 yr,"1, 2, 6",1,1.0,N,N,N,"1, 4",Laptop,"2, 3","5, 6","3, 4",,NC,Nothing,"3, 4",,2
6,Dhaka,20-29,Man,High School,Student,4-6,Desktop,<4 yr,"1, 2, 6","3, 5",4.0,N,Y,N,1,Laptop,1,"1, 5, 6, 7","2, 3, 6","6, 7",NC,Nothing,4,N,"1, 2"
7,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<2 yr,2,3,5.0,N,N,Y,1,"Smartphone, Desktop",1,4,3,"3, 4",NC,Featurephone,2,Y,2
8,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,"1, 2, 3, 6",1,1.0,N,Y,Y,"1, 4","Smartphone, Laptop",3,"6, 7",1,"2, 4, 5, 6",Y,Featurephone,"1, 2, 3, 4",N,"3, 5"
9,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<2 yr,"2, 3",1,1.0,N,N,N,1,"Laptop, Tablet",2,"1, 3, 5","3, 4, 6","4, 5, 6",NC,Nothing,1,,"1, 2, 3"
10,Dhaka,20-29,Man,Bachelors,Student,6-8,Tablet,<6 mn,"2, 6",1,5.0,Y,Y,Y,1,"Featurephone, Laptop",3,"4, 5, 6","1, 4","4, 6",NC,Featurephone,4,N,"1, 2"
11,Dhaka,20-29,Woman,Bachelors,Job,6-8,Smartphone,<1 mn,"1, 2, 6",6,4.0,N,N,Y,3,"Smartphone, Laptop",1,4,1,5,NC,Featurephone,1,N,2
