,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,dump_reason_new,dump_reason_old,dump_reason_break,dump_reason_theft,dump_reason_slow,dump_reason_lag,device_to_rep_Desktop,device_to_rep_Featurephone,device_to_rep_Laptop,device_to_rep_Smartphone,device_to_rep_Tablet,self_try_No,self_try_Failed,self_try_Success,slt_lack_tu,slt_lack_lang,slt_lack_notint,slt_lack_fear,slt_lack_parts,slt_lack_repairer,rprd_usage_chlng_No,rprd_usage_chlng_reluc,rprd_usage_chlng_dur,rprd_usage_chlng_fault,rprd_usage_chlng_econ,rprd_usage_chlng_theft,rpr_missing_trait_behave,rpr_missing_trait_ineff,rpr_missing_trait_harm,rpr_missing_trait_hard,rpr_missing_trait_wage,rpr_missing_trait_trust,rpr_missing_trait_gender,bad_rep_exp,dev_tknto_rec_Y,dev_rec_chlng_fair_price,dev_rec_chlng_usable,dev_rec_chlng_datasec,dev_rec_chlng_env_poll,dev_rec_chlng_hard_find,will_dev_rec
0,Dhaka,20-29,Woman,Bachelors,Student,6-8,Smartphone,<2 yr,1,5,Y,Y,Y,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,NC,1,0,0,1,0,0,NC
1,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<2 yr,1,5,N,N,N,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,NC,1,1,0,0,1,0,NC
2,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<1 mn,6,4,Y,Y,N ,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,N,0,0,1,0,0,0,N
3,Dhaka,20-29,Man,Bachelors,Student,4-6,Laptop,<1 yr,1,1,Y,Y,Y,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,NC,1,0,1,1,1,0,N
4,Dhaka,20-29,Woman,High School,Student,4-6,Smartphone,<4 yr,1,5,N,Y,Y,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,NC,0,0,0,0,0,0,N
5,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<2 yr,1,1,N,N,N,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NC,0,0,0,1,1,0,NC
6,Dhaka,20-29,Man,High School,Student,4-6,Desktop,<4 yr,3,4,N,Y,N,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,NC,0,0,0,0,1,0,N
7,Dhaka,20-29,Man,High School,Student,4-6,Smartphone,<2 yr,3,5,N,N,Y,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,NC,1,0,1,0,0,0,Y
8,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,1,1,N,Y,Y,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,Y,1,1,1,1,1,0,N
9,Dhaka,20-29,Man,High School,Student,3-4,Smartphone,<2 yr,1,1,N,N,N,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,NC,0,1,0,0,0,0,NC
10,Dhaka,20-29,Man,Bachelors,Student,6-8,Tablet,<6 mn,1,5,Y,Y,Y,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,NC,1,0,0,0,1,0,N
11,Dhaka,20-29,Woman,Bachelors,Job,6-8,Smartphone,<1 mn,6,4,N,N,Y,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NC,1,1,0,0,0,0,N
12,Dhaka,20-29,Woman,Bachelors,Student,6-8,Smartphone,<6 mn,1,1,N,N,N,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,NC,0,0,0,0,0,0,NC
13,Dhaka,20-29,Man,Bachelors,Student,4-6,Smartphone,<1 yr,1,5,N,Y,Y,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,N,0,0,1,0,1,0,N
14,Dhaka,20-29,Man,Bachelors,Student,4-6,Laptop,<6 mn,3,4,N,Y,Y,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,N,0,1,0,0,0,0,N
15,Dhaka,20-29,Man,Bachelors,Student,4-6,Smartphone,<4 yr,1,2,N,Y,Y,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,Y,0,1,0,1,1,0,N
